avahi-tools	0:0.9~rc2-8.fc44	aarch64
b43-fwcutter	0:020-1.fc44	aarch64
b43-openfwwf	0:5.2-48.fc44	noarch
baloo-widgets	0:26.04.3-1.fc44	aarch64
bash	0:5.3.9-3.fc44	aarch64
bash-color-prompt	0:0.7.1-3.fc44	noarch
bash-completion	1:2.17-2.fc44	noarch
bat	0:0.26.1-1.fc44	aarch64
bc	0:1.08.2-4.fc44	aarch64
bind-libs	32:9.18.50-1.fc44	aarch64
bind-utils	32:9.18.50-1.fc44	aarch64
binfmt-dispatcher	0:0.1.2-3.fc44	aarch64
binutils	0:2.46.1-1.fc44	aarch64
blivet-data	1:3.13.2-2.fc44	noarch
blivet-gui-runtime	0:2.6.0-12.fc44	noarch
blosc	0:1.21.6-10.fc44	aarch64
bluedevil	0:6.7.3-1.fc44	aarch64
bluez	0:5.87-3.fc44	aarch64
bluez-cups	0:5.87-3.fc44	aarch64
bluez-libs	0:5.87-3.fc44	aarch64
bluez-obexd	0:5.87-3.fc44	aarch64
bolt	0:0.9.11-1.fc44	aarch64
boost	0:1.90.0-7.fc44	aarch64
boost-atomic	0:1.90.0-7.fc44	aarch64
boost-charconv	0:1.90.0-7.fc44	aarch64
boost-chrono	0:1.90.0-7.fc44	aarch64
boost-cobalt	0:1.90.0-7.fc44	aarch64
boost-container	0:1.90.0-7.fc44	aarch64
boost-context	0:1.90.0-7.fc44	aarch64
boost-contract	0:1.90.0-7.fc44	aarch64
boost-coroutine	0:1.90.0-7.fc44	aarch64
boost-date-time	0:1.90.0-7.fc44	aarch64
boost-fiber	0:1.90.0-7.fc44	aarch64
boost-filesystem	0:1.90.0-7.fc44	aarch64
boost-graph	0:1.90.0-7.fc44	aarch64
boost-iostreams	0:1.90.0-7.fc44	aarch64
boost-json	0:1.90.0-7.fc44	aarch64
boost-locale	0:1.90.0-7.fc44	aarch64
boost-log	0:1.90.0-7.fc44	aarch64
boost-math	0:1.90.0-7.fc44	aarch64
boost-nowide	0:1.90.0-7.fc44	aarch64
boost-process	0:1.90.0-7.fc44	aarch64
boost-program-options	0:1.90.0-7.fc44	aarch64
boost-python3	0:1.90.0-7.fc44	aarch64
boost-random	0:1.90.0-7.fc44	aarch64
boost-regex	0:1.90.0-7.fc44	aarch64
boost-serialization	0:1.90.0-7.fc44	aarch64
boost-stacktrace	0:1.90.0-7.fc44	aarch64
boost-test	0:1.90.0-7.fc44	aarch64
boost-thread	0:1.90.0-7.fc44	aarch64
boost-timer	0:1.90.0-7.fc44	aarch64
boost-type_erasure	0:1.90.0-7.fc44	aarch64
boost-url	0:1.90.0-7.fc44	aarch64
boost-wave	0:1.90.0-7.fc44	aarch64
Box2D	0:2.4.2-7.fc44	aarch64
braille-printer-app	1:2.0~b0^386eea385f-11.fc44	aarch64
brcmfmac-firmware	0:20260622-1.fc44	noarch
breeze-cursor-theme	0:6.7.3-1.fc44	noarch
breeze-gtk-common	0:6.7.3-1.fc44	noarch
breeze-gtk-gtk2	0:6.7.3-1.fc44	noarch
breeze-gtk-gtk3	0:6.7.3-1.fc44	noarch
breeze-gtk-gtk4	0:6.7.3-1.fc44	noarch
breeze-icon-theme	0:6.28.0-1.fc44	noarch
breeze-icon-theme-fedora	0:6.28.0-1.fc44	noarch
brightnessctl	0:0.5.1-16.fc44	aarch64
brlapi	0:0.8.7-8.fc44	aarch64
brltty	0:6.8-8.fc44	aarch64
btop	0:1.4.7-1.fc44	aarch64
btrfs-progs	0:7.0-1.fc44	aarch64
bubblewrap	0:0.11.0-4.fc44	aarch64
bzip2	0:1.0.8-23.fc44	aarch64
bzip2-libs	0:1.0.8-23.fc44	aarch64
ca-certificates	0:2025.2.80_v9.0.304-7.fc44	noarch
cairo	0:1.18.4-6.fc44	aarch64
cairo-gobject	0:1.18.4-6.fc44	aarch64
cairomm	0:1.14.5-15.fc44	aarch64
cairomm1.16	0:1.18.0-16.fc44	aarch64
calamares	0:3.3.14-5.fc44	aarch64
calamares-firstboot-config	0:20240509-6.fc43	noarch
calamares-libs	0:3.3.14-5.fc44	aarch64
calendarsupport	0:26.04.3-1.fc44	aarch64
capstone	0:5.0.6-4.fc44	aarch64
c-ares	0:1.34.8-1.fc44	aarch64
catatonit	0:0.2.1-5.fc44	aarch64
catdoc	0:0.95-30.fc44	aarch64
catdoc-wordview	0:0.95-30.fc44	aarch64
cdparanoia-libs	0:10.2-50.fc44	aarch64
cdrdao	0:1.2.6-1.fc44	aarch64
cfitsio	0:4.6.3-2.fc44	aarch64
CharLS	0:2.4.3-2.fc44	aarch64
checkpolicy	0:3.10-1.fc44	aarch64
chrony	0:4.8-5.fc44	aarch64
cifs-utils	0:7.6-2.fc44	aarch64
cifs-utils-info	0:7.6-2.fc44	aarch64
cirrus-audio-firmware	0:20260622-1.fc44	noarch
cjson	0:1.7.19-1.fc44	aarch64
clang-libs	0:22.1.8-4.fc44	aarch64
clang-resource-filesystem	0:22.1.8-4.fc44	aarch64
cldr-emoji-annotation	1:48.2-1.fc44	noarch
cldr-emoji-annotation-dtd	1:48.2-1.fc44	noarch
clinfo	0:3.0.25.02.14-3.fc44	aarch64
clucene-contribs-lib	0:2.3.3.4-55.20130812.e8e3d20git.fc44	aarch64
clucene-core	0:2.3.3.4-55.20130812.e8e3d20git.fc44	aarch64
cmake-filesystem	0:4.3.0-1.fc44	aarch64
cmark-lib	0:0.31.1-3.fc44	aarch64
codec2	0:1.2.0-9.fc44	aarch64
colord	0:1.4.8-4.fc44	aarch64
colord-kde	0:26.04.3-1.fc44	aarch64
colord-libs	0:1.4.8-4.fc44	aarch64
color-filesystem	0:1-38.fc44	noarch
compat-lua-libs	0:5.1.5-31.fc44	aarch64
compiler-rt	0:22.1.8-4.fc44	aarch64
composefs	0:1.0.8-5.fc44	aarch64
composefs-libs	0:1.0.8-5.fc44	aarch64
compsize	0:1.5^git20250123.d79eacf-15.fc44	aarch64
conmon	2:2.2.1-2.fc44	aarch64
console-setup	0:1.245-3.fc44	noarch
containers-common	5:0.67.0-1.fc44	noarch
containers-common-extra	5:0.67.0-1.fc44	noarch
container-selinux	4:2.250.0-1.fc44	noarch
coreutils	0:9.10-4.fc44	aarch64
coreutils-common	0:9.10-4.fc44	aarch64
corosynclib	0:3.1.10-5.fc44	aarch64
cpio	0:2.15-9.fc44	aarch64
cpp	0:16.1.1-2.fc44	aarch64
cracklib	0:2.10.3-1.fc44	aarch64
cracklib-dicts	0:2.10.3-1.fc44	aarch64
criu	0:4.2.1-1.fc44	aarch64
criu-libs	0:4.2.1-1.fc44	aarch64
cronie	0:1.7.2-16.fc44	aarch64
cronie-anacron	0:1.7.2-16.fc44	aarch64
crontabs	0:1.11^20190603git9e74f2d-10.fc44	noarch
crun	0:1.28-1.fc44	aarch64
cryfs	0:0.11.3-15.fc44	aarch64
crypto-policies	0:20251128-3.git19878fe.fc44	noarch
crypto-policies-scripts	0:20251128-3.git19878fe.fc44	noarch
cryptsetup	0:2.8.4-1.fc44	aarch64
cryptsetup-libs	0:2.8.4-1.fc44	aarch64
